review,stars,date,neg,neu,pos,compound
"Really good cinema! Only thing was my 3d glasses didn't work but they gave me new ones which did and I only missed a bit of the movie, overall would definitely go back", 5 ,2023/01,0.076,0.762,0.162,0.4834
Very nice cinema AC could be a cooler, 4 ,2023/01,0.0,0.66,0.34,0.4754
Very comfortable seats and you can get pizza to take in if you prefer something other than popcorn., 5 ,2023/01,0.0,0.826,0.174,0.5563
"Impromptu stop at Sunnybank with this being my first visit to a HOYTS cinema. Great seats, sound was amazing and the screen was very clear.", 5 ,2023/01,0.067,0.606,0.327,0.8622
Good, 5 ,2022/12,0.0,0.0,1.0,0.4404
"Underrated cinema. It’s beautiful, spacious and comfortable. Literally a gold class experience for a reasonable price. The chairs recline and all. This is always my first choice for a cinema, then everywhere else.", 5 ,2022/12,0.0,0.795,0.205,0.802
Comfortable seat and bigger screen, 5 ,2022/12,0.0,0.548,0.452,0.5106
"Wide comfy seats, friendly staff, plenty of parking! Great experience!", 5 ,2022/12,0.0,0.504,0.496,0.8353
Loved the recliner seats, 5 ,2022/12,0.0,0.435,0.565,0.5994
, 5 ,2022/12,0.0,0.0,0.0,0.0
, 4 ,2022/12,0.0,0.0,0.0,0.0
"Loved the Xtreme screen experience. Good reclining chairs. Men's bathroom was not very clean. And we booked online to skip the line but had to stand on the line to get 3D glasses, which defeated the purpose of online booking.", 4 ,2022/12,0.127,0.778,0.095,-0.3585
, 4 ,2022/12,0.0,0.0,0.0,0.0
, 5 ,2022/12,0.0,0.0,0.0,0.0
Great leather recliners, 5 ,2022/12,0.0,0.328,0.672,0.6249
Great screen (extreme) and audio. Comfy seats and all... � …, 4 ,2022/12,0.0,0.661,0.339,0.6249
, 5 ,2022/12,0.0,0.0,0.0,0.0
Very comfortable to sit there and relaxed to enjoy the movie and good snacks too., 5 ,2022/12,0.0,0.46,0.54,0.9168
, 5 ,2022/12,0.0,0.0,0.0,0.0
, 4 ,2022/12,0.0,0.0,0.0,0.0
